transaction_id,address_id,matched_address,confidence,match_type,reason
none-jackson-street-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bayard-street-unit-3g-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-grand-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-division-avenue-unit-16-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-skillman-avenue-unit-1a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-11th-street-unit-4w-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-havemeyer-street-unit-6a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,BE75AF28D78C6CB11BC26CC61EA78D64E09B32209214E07AA361D01D4D1BE5A0333321350030191943DA9F9E65D86A71,96 WOODPOINT RD APT 2C,78.26,phonetic,phonetic match
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-153-south-4th-street-unit-5-williamsburg-ny-11211,E2F913AB35B7B5460A3923119081772E222E87B516C2624CCDF5974BD882B796EC521AC282476CC46ADB72D834828687,153 S 4TH ST APT 5,1.0,api,api match
none-north-6th-street-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-conselyea-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-237-ainslie-street-none-brooklyn-ny-11211,2C8D5E3EF2D327110420DCA370A133DB45D6E6174009FF341BF90CE45310FA164BFCA84C08C3EC18ED887872FBE7A554,237 AINSLIE ST,83.33,fuzzy,fuzzy match
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,63C8644ECF6316A71BD0224C108AC3F6DA8080A12DAA9FEC1DC7E3A34133E133CB4BD72063E879ACC8591403854CB7DD,139 SKILLMAN AVE APT 9A,1.0,api,api match
none-south-5th-street-unit-c1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-union-avenue-unit-3c-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-323-south-5th-street-unit-3-brooklyn-ny-11211,C06F33692D0EB5CDC95F18228F518AB221CB50ACA26AF644F2CC30F76A777906026E4689813FC973E0A69F1B931E56D8,323 S 5TH ST APT 3,1.0,api,api match
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-roebling-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-88-withers-street-unit-5e-brooklyn-ny-11211,7ACAB68734B0ADE937D731BA008DD89E60312ABFFBC2E04335078BCA9F31749B9678B2B6D045F989AFB583D6C0D6EABA,88 WITHERS ST APT 5E,1.0,api,api match
none-270-south-2nd-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-70-conselyea-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-south-8th-street-unit-1a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,7EC0EC604BD7960CCF7A2FAE8F5FC3BFD81EB9B1B2BFC608EDC88064BEDA8731DA37775A404FA44162F44589C325E318,850 METROPOLITAN AVE APT 1E,77.42,phonetic,phonetic match
none-217-north-11th-street-unit-1-brooklyn-ny-11211,E1DC86B983F9C47154B7D721537C93234B00FD5D8F84FFB8C067917320B8F7C1E8465D96C8DC7DF76D159FF556814FB0,217 N 11TH ST APT 1,1.0,api,api match
none-217-219-devoe-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-222-withers-street-unit-2a-brooklyn-ny-11211,A646A43FCEA052E3C61C8B20E24C372DB9B69E8749CE669F8D72AE4892B3DAD4AE26A130F67068FF4DC52F752EE7EDBF,222 WITHERS ST APT 2A,1.0,api,api match
none-north-6th-street-unit-2r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-191-withers-street-unit-1r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-2-bayard-street-unit-2d-brooklyn-ny-11211,D5B0DECE8DFCB069FBAE2E7A402EAC2877B0DE4D29E6C32AA0D943A027AA28F7FAE29FF046A457C00D49FFDD812F5A74,2 BAYARD ST APT 2D,1.0,api,api match
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,F4F3FB80B62341BD9558DDD7A6686EA36EF4F61473A89EDF5D9FBF51E9535642928F3511F310CCD5451B05CDB7F7A525,150 N 5TH ST APT 3J,1.0,api,api match
none-north-8th-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-74-jackson-street-unit-garden-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-jackson-street-unit-5-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-88-withers-street-unit-ph3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-devoe-street-unit-2r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-havemeyer-street-none-brooklyn-ny-11211-0,,,0.0,unmatched,api returned but no match
none-havemeyer-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-jackson-street-unit-3b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-8th-street-unit-ph-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-684-lorimer-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-590-lorimer-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-135-jackson-street-unit-1b-brooklyn-ny-11211,4EAD8CA67A54AD1C20B344160CA71474D4B532781A7A17245ACE32A025A7010EE446A9BF60CA06898B96766BE253A9B3,135 JACKSON ST APT 1B,1.0,api,api match
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-union-avenue-unit-5c-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bedford-avenue-unit-8-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-96-roebling-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,FBED30C52BB37E65C39BE6F7D824264DFF360D6E878650CF16C8793389973074072ACC17910A51A9F14FD8451E1D1C3D,212 N 9TH ST APT 3C,1.0,api,api match
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-74-jackson-street-unit-3a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-20-bayard-street-unit-11b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,79CFDA498DC8EDEF06768EDD61502ADC26ED79806BBD07B69D00B5F238944F9687EC9526B0365A945852A7DF98E19F3E,214 N 11TH ST APT 1L,1.0,api,api match
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,CA690F494F141A7D53293B833DF26D948DC4535E712317743FDDF2D931E781189729415AB86201CCB4203153259BC97E,176 S 4TH ST APT 4A,1.0,api,api match
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-185-withers-street-unit-4-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bayard-street-unit-3b-brooklyn-ny-11211-0,,,0.0,unmatched,api returned but no match
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-185-withers-street-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-185-withers-street-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,CD87C8DFA15AA51625C7DB3524873888B0282BB5FC329210CEC0BCAF0B3BD5862AE497311C2E97231C2122095BF8E2D7,139 SKILLMAN AVE APT 8A,1.0,api,api match
none-185-withers-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-jackson-street-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-woodpoint-road-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bayard-street-unit-3b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-jackson-street-unit-4-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-skillman-avenue-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-11th-street-unit-5r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
